feature	percentage_gene_gc_content	gene_biotype	start_position	end_position	hgnc_id	hgnc_symbol	length
ENSG00000000003	40.4	protein_coding	100627108	100639991	HGNC:11858	TSPAN6	12883
ENSG00000000419	40.2	protein_coding	50934867	50959140	HGNC:3005	DPM1	24273
ENSG00000000457	40.14	protein_coding	169849631	169894267	HGNC:19285	SCYL3	44636
ENSG00000000460	39.22	protein_coding	169662007	169854080	HGNC:25565	FIRRM	192073
ENSG00000000938	52.92	protein_coding	27612064	27635185	HGNC:3697	FGR	23121
ENSG00000001036	39.72	protein_coding	143494812	143511720	HGNC:4008	FUCA2	16908
ENSG00000001167	40.69	protein_coding	41072974	41102403	HGNC:7804	NFYA	29429
ENSG00000001460	44.09	protein_coding	24356999	24416934	HGNC:28070	STPG1	59935
ENSG00000001461	44.91	protein_coding	24415802	24475252	HGNC:25233	NIPAL3	59450
ENSG00000001497	42.78	protein_coding	65438549	65534810	HGNC:25726	LAS1L	96261
ENSG00000001617	57.74	protein_coding	50155045	50189075	HGNC:10728	SEMA3F	34030
ENSG00000001629	36.83	protein_coding	92245974	92401383	HGNC:22215	ANKIB1	155409
ENSG00000001630	38.33	protein_coding	92084987	92134803	HGNC:2649	CYP51A1	49816
ENSG00000001631	36.51	protein_coding	92197498	92246166	HGNC:1573	KRIT1	48668
ENSG00000002016	45.19	protein_coding	911736	990053	HGNC:9824	RAD52	78317
ENSG00000002330	53.92	protein_coding	64269830	64284704	HGNC:936	BAD	14874
ENSG00000002549	44.16	protein_coding	17577198	17607972	HGNC:18449	LAP3	30774
ENSG00000002586	47.38	protein_coding	2691187	2741309	HGNC:7082	CD99	50122
ENSG00000002834	53.69	protein_coding	38869859	38921770	HGNC:6513	LASP1	51911
ENSG00000002919	48.03	protein_coding	48103357	48123601	HGNC:14975	SNX11	20244
ENSG00000003056	42.37	protein_coding	8940361	8949761	HGNC:6752	M6PR	9400
ENSG00000003249	59.3	protein_coding	90004871	90019890	HGNC:28455	DBNDD1	15019
ENSG00000003393	38.18	protein_coding	201700267	201782112	HGNC:443	ALS2	81845
ENSG00000003400	42.31	protein_coding	201182872	201229428	HGNC:1500	CASP10	46556
ENSG00000003402	44.35	protein_coding	201116154	201176687	HGNC:1876	CFLAR	60533
ENSG00000003509	38.97	protein_coding	37231631	37253403	HGNC:28816	NDUFAF7	21772
